playfield,id,name,type,faction,blocks,devices,pos,rot,core,powered,docked,touched_time,touched_ticks,touched_name,touched_id,saved_time,saved_ticks,add_info
Eros,47002,'Capital Vessel (CV)',CV,[Fac   102],2404,284,-3268.736 30.54506 -598.827,357.157 258.1875 358.761,True,True,False,9/4/2017 11:59:14 PM,3415550,'Vatirel',76561198025654783,9/4/2017 11:59:35 PM,3415977,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2366,230,1891.279 32.05924 -272.1975,4.199344 105.6513 4.877955,True,True,False,9/5/2017 6:04:14 AM,3853549,'Vatirel',76561198025654783,9/5/2017 6:04:36 AM,3853989,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2379,256,1891.279 32.05924 -272.1975,4.199344 105.6513 4.877955,True,True,False,9/5/2017 10:03:37 AM,4140817,' FENRIS',76561197968119133,9/5/2017 10:03:59 AM,4141251,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2360,250,1876.347 31.36178 -172.6075,354.3099 319.8607 359.3519,True,True,False,9/5/2017 1:51:42 PM,4412782,' FENRIS',76561197968119133,9/5/2017 1:52:04 PM,4413216,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2356,246,1851.768 33.23029 -121.1095,358.6112 205.8634 0.8344982,True,True,False,9/5/2017 6:09:57 PM,4722679,' FENRIS',76561197968119133,9/5/2017 6:17:48 PM,4732104,
Himalia System,47002,'Capital Vessel (CV)',CV,[Fac   102],2361,252,5592.379 6707 -1297.624,335.669 24.0004 211.5032,True,True,False,9/6/2017 10:02:09 AM,5865324,' FENRIS',76561197968119133,9/6/2017 10:02:31 AM,5865757,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2365,256,1855.251 34.68034 -153.8899,0.7457254 241.3951 359.3669,True,True,False,9/6/2017 4:19:44 PM,6316595,' FENRIS',76561197968119133,9/6/2017 4:23:16 PM,6320822,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2365,256,1855.251 34.68034 -153.8899,0.7457254 241.3951 359.3669,True,True,False,9/6/2017 5:43:51 PM,6416191,' FENRIS',76561197968119133,9/6/2017 5:48:51 PM,6422190,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2365,256,1855.251 34.68034 -153.8899,0.7457254 241.3951 359.3669,True,True,False,9/7/2017 12:13:57 AM,6884313,' FENRIS',76561197968119133,9/7/2017 12:18:27 AM,6889714,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2365,256,1869.848 30.90713 -233.7818,354.3911 244.0675 359.9451,True,True,False,9/7/2017 8:46:11 AM,7498997,'Vatirel',76561198025654783,9/7/2017 9:00:59 AM,7516750,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2365,256,1869.848 30.90713 -233.7818,354.3911 244.0675 359.9451,True,True,False,9/7/2017 9:24:19 AM,7544744,' FENRIS',76561197968119133,9/7/2017 9:29:21 AM,7550798,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2365,256,1766.205 33.81704 -196.0714,359.6624 144.1988 357.3645,True,True,False,9/7/2017 2:04:39 PM,7879413,' FENRIS',76561197968119133,9/7/2017 3:21:02 PM,7971085,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2365,256,1766.205 33.81704 -196.0714,359.6624 144.1988 357.3645,True,True,False,9/7/2017 2:04:39 PM,7879413,' FENRIS',76561197968119133,9/7/2017 4:22:41 PM,8045054,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2365,256,1857.521 32.7199 -236.2966,353.8933 278.806 353.8651,True,True,False,9/8/2017 12:39:16 AM,8640967,'Vatirel',76561198025654783,9/8/2017 12:41:47 AM,8643969,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2365,256,1857.521 32.7199 -236.2966,353.8933 278.806 353.8651,True,True,False,9/8/2017 2:55:04 AM,8803917,' FENRIS',76561197968119133,9/8/2017 3:37:32 AM,8854878,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2365,256,1857.521 32.7199 -236.2966,353.8933 278.806 353.8651,True,True,False,9/8/2017 3:58:46 AM,8880357,' FENRIS',76561197968119133,9/8/2017 4:22:20 AM,8908648,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2365,256,1857.521 32.7199 -236.2966,353.8933 278.806 353.8651,True,True,False,9/8/2017 3:58:46 AM,8880357,' FENRIS',76561197968119133,9/8/2017 12:04:39 PM,9463413,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2365,256,1857.521 32.7199 -236.2966,353.8933 278.806 353.8651,True,True,False,9/8/2017 3:58:46 AM,8880357,' FENRIS',76561197968119133,9/8/2017 1:50:11 PM,9586289,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2365,256,1857.521 32.7199 -236.2966,353.8933 278.806 353.8651,True,True,False,9/8/2017 4:44:22 PM,9795320,'Vatirel',76561198025654783,9/8/2017 5:00:55 PM,9815179,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2365,256,1857.521 32.7199 -236.2966,353.8933 278.806 353.8651,True,True,False,9/9/2017 10:43:59 AM,11090851,' FENRIS',76561197968119133,9/9/2017 11:34:14 AM,11151154,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2365,256,1857.521 32.7199 -236.2966,353.8933 278.806 353.8651,True,True,False,9/9/2017 10:43:59 AM,11090851,' FENRIS',76561197968119133,9/9/2017 1:37:10 PM,11296733,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2365,256,1857.521 32.7199 -236.2966,353.8933 278.806 353.8651,True,True,False,9/9/2017 2:26:47 PM,11356272,' FENRIS',76561197968119133,9/9/2017 4:49:07 PM,11527087,
Himalia,47002,'Capital Vessel (CV)',CV,[Fac   102],2365,256,1857.521 32.7199 -236.2966,353.8933 278.806 353.8651,True,True,False,9/9/2017 10:20:33 PM,11924799,' FENRIS',76561197968119133,9/9/2017 10:53:18 PM,11964028,
