playfield,id,name,type,faction,blocks,devices,pos,rot,core,powered,docked,touched_time,touched_ticks,touched_name,touched_id,saved_time,saved_ticks,add_info
Himalia,154003,'Truck Nutz',HV,[Fac   102],204,72,1780.726 43.96033 -308.7574,-0.0004301129 33.41454 359.9932,True,False,True,9/9/2017 4:19:14 PM,11491218,' FENRIS',76561197968119133,9/9/2017 4:49:07 PM,11527087,
Himalia,154003,'Truck Nutz',HV,[Fac   102],204,72,1780.726 43.96033 -308.7574,-0.0004301129 33.41454 359.9932,True,False,True,9/9/2017 10:38:31 PM,11946368,' FENRIS',76561197968119133,9/9/2017 10:53:18 PM,11964028,
Himalia,154003,'Truck Nutz',HV,[Fac   102],204,72,1780.726 43.96033 -308.7574,-0.0004301129 33.41454 359.9932,True,False,True,9/10/2017 12:55:12 AM,12110375,' FENRIS',76561197968119133,9/10/2017 12:56:22 AM,12111787,
Himalia,154003,'Truck Nutz',HV,[Fac   102],204,72,1780.726 43.96033 -308.7574,-0.0004301129 33.41454 359.9932,True,False,True,9/10/2017 12:55:12 AM,12110375,' FENRIS',76561197968119133,9/10/2017 6:14:38 PM,13355940,
Himalia,154003,'Truck Nutz',HV,[Fac   102],204,72,1780.726 43.96033 -308.7574,-0.0004301129 33.41454 359.9932,True,False,True,9/10/2017 12:55:12 AM,12110375,' FENRIS',76561197968119133,9/10/2017 6:46:39 PM,13394358,
Himalia,154003,'Truck Nutz',HV,[Fac   102],204,72,1780.726 43.96033 -308.7574,-0.0004301129 33.41454 359.9932,True,False,True,9/10/2017 12:55:12 AM,12110375,' FENRIS',76561197968119133,9/12/2017 1:44:45 AM,15622347,
Himalia,154003,'Truck Nutz',HV,[Fac   102],204,72,1780.726 43.96033 -308.7574,-0.0004301129 33.41454 359.9932,True,False,True,9/10/2017 12:55:12 AM,12110375,' FENRIS',76561197968119133,9/12/2017 4:48:23 AM,15842704,
Himalia,154003,'Truck Nutz',HV,[Fac   102],204,72,1780.726 43.96033 -308.7574,-0.0004301129 33.41454 359.9932,True,False,True,9/10/2017 12:55:12 AM,12110375,' FENRIS',76561197968119133,9/12/2017 4:53:21 AM,15848673,
Himalia,154003,'Truck Nutz',HV,[Fac   102],204,72,1672.744 49.4453 -175.7609,1.110434 86.72313 8.606359,True,False,True,9/12/2017 4:28:01 PM,16680033,' FENRIS',76561197968119133,9/12/2017 7:27:40 PM,16895624,
Himalia,154003,'Truck Nutz',HV,[Fac   102],204,72,1778.35 43.95566 -320.9863,-0.0001110783 32.90664 359.9941,True,False,True,9/12/2017 4:28:01 PM,16680033,' FENRIS',76561197968119133,9/12/2017 9:55:49 PM,17072056,
Himalia,154003,'Truck Nutz',HV,[Fac   102],204,72,1778.35 43.95566 -320.9863,-0.0001110783 32.90664 359.9941,True,False,True,9/12/2017 4:28:01 PM,16680033,' FENRIS',76561197968119133,9/12/2017 10:18:45 PM,17099562,
Himalia,154003,'Truck Nutz',HV,[Fac   102],204,72,1778.35 43.95566 -320.9863,-0.0001110783 32.90664 359.9941,True,False,True,9/12/2017 4:28:01 PM,16680033,' FENRIS',76561197968119133,9/13/2017 4:44:54 AM,17562956,
Himalia,154003,'Truck Nutz',HV,[Fac   102],204,72,1778.35 43.95566 -320.9863,-0.0001110783 32.90664 359.9941,True,False,True,9/12/2017 4:28:01 PM,16680033,' FENRIS',76561197968119133,9/13/2017 5:31:28 AM,17615020,
Himalia,154003,'Truck Nutz',HV,[Fac   102],204,72,1778.35 43.95566 -320.9863,-0.0001110783 32.90664 359.9941,True,False,True,9/12/2017 4:28:01 PM,16680033,' FENRIS',76561197968119133,9/13/2017 11:43:43 AM,18055081,
