playfield,id,name,type,faction,blocks,devices,pos,rot,core,powered,docked,touched_time,touched_ticks,touched_name,touched_id,saved_time,saved_ticks,add_info
Vyrdis,202043,'Small Vessel (SV)',SV,[Fac   100],874,78,-455.2241 72.18904 -954.4153,1.235036 271.4751 359.9776,True,False,True,9/12/2017 2:39:04 AM,15687538,' Sackinvain',76561197994450968,9/12/2017 3:32:42 AM,15751892,
Vyrdis,202043,'Small Vessel (SV)',SV,[Fac   100],874,78,-455.2241 72.18904 -954.4153,1.235036 271.4751 359.9776,True,False,True,9/12/2017 2:39:04 AM,15687538,' Sackinvain',76561197994450968,9/12/2017 10:04:21 AM,16221825,
Vyrdis,202043,'Small Vessel (SV)',SV,[Fac   100],874,78,-455.2241 72.18904 -954.4153,1.235036 271.4751 359.9776,True,False,True,9/12/2017 2:39:04 AM,15687538,' Sackinvain',76561197994450968,9/12/2017 4:30:20 PM,16682819,
Himalia,202043,'Small Vessel (SV)',SV,[Fac   102],874,78,1501.108 79.24055 -1108.346,4.018991 343.3835 1.145681,True,False,True,9/12/2017 7:17:29 PM,16883396,'Satren',76561198124558893,9/12/2017 7:27:40 PM,16895624,
Himalia,202043,'Small Vessel (SV)',SV,[Fac   102],874,78,1689.768 52.08821 -55.37009,359.8889 9.953254 179.9835,True,False,True,9/12/2017 9:41:32 PM,17054917,'Satren',76561198124558893,9/12/2017 9:55:49 PM,17072056,
Himalia,202043,'Small Vessel (SV)',SV,[Fac   102],874,78,1689.768 52.08821 -55.37009,359.8889 9.953254 179.9835,True,False,True,9/12/2017 9:41:32 PM,17054917,'Satren',76561198124558893,9/12/2017 10:18:45 PM,17099562,
Himalia,202043,'Small Vessel (SV)',SV,[Fac   102],874,78,1689.768 52.08821 -55.37009,359.8889 9.953254 179.9835,True,False,True,9/12/2017 9:41:32 PM,17054917,'Satren',76561198124558893,9/13/2017 4:44:54 AM,17562956,
Himalia,202043,'Small Vessel (SV)',SV,[Fac   102],874,78,1689.768 52.08821 -55.37009,359.8889 9.953254 179.9835,True,False,True,9/13/2017 5:13:21 AM,17593270,'Satren',76561198124558893,9/13/2017 5:31:28 AM,17615020,
Himalia,202043,'Small Vessel (SV)',SV,[Fac   102],874,78,1689.768 52.08821 -55.37009,359.8889 9.953254 179.9835,True,False,True,9/13/2017 11:43:17 AM,18054554,'Satren',76561198124558893,9/13/2017 11:43:43 AM,18055081,
Himalia,202043,'Small Vessel (SV)',SV,[Fac   102],874,78,1689.768 52.08821 -55.37009,359.8889 9.953254 179.9835,True,False,True,9/13/2017 11:43:17 AM,18054554,'Satren',76561198124558893,9/13/2017 12:12:44 PM,18089898,
Himalia,202043,'Small Vessel (SV)',SV,[Fac   102],874,78,1689.768 52.08821 -55.37009,359.8889 9.953254 179.9835,True,False,True,9/13/2017 11:43:17 AM,18054554,'Satren',76561198124558893,9/13/2017 12:18:25 PM,18096717,
Himalia,202043,'Small Vessel (SV)',SV,[Fac   102],874,78,1689.768 52.08821 -55.37009,359.8889 9.953254 179.9835,True,False,True,9/13/2017 12:41:31 PM,18124437,'Satren',76561198124558893,9/13/2017 12:43:01 PM,18126246,
Himalia,202043,'Small Vessel (SV)',SV,[Fac   102],874,78,1689.768 52.08821 -55.37009,359.8889 9.953254 179.9835,True,False,True,9/13/2017 12:41:31 PM,18124437,'Satren',76561198124558893,9/13/2017 12:50:25 PM,18131889,
Himalia,202043,'Small Vessel (SV)',SV,[Fac   102],874,78,1689.768 52.08821 -55.37009,359.8889 9.953254 179.9835,True,False,True,9/13/2017 1:00:00 PM,18143387,'Satren',76561198124558893,9/13/2017 1:09:29 PM,18154763,
